Sigma,BM3D_JSD,BM4D_JSD
1e-08,0.0006003603767762081,0.0005626060635587852
1e-07,0.0006003603763114666,0.0005626060633462122
1e-06,0.0006003603762396206,0.0005626063386328919
1e-05,0.0006003603762994466,0.0005625829025286889
0.0001,0.0006003603581386099,0.0005413767070135287
0.001,0.0006003010958167594,5.629930086000542e-06
0.01,0.0005947236254451579,8.063108545700337e-05
0.1,1.19186166458463e-05,0.00012590477624255722
1.0,1.477622677321965e-05,0.00012671528019170936
