Samples,Noisy_VMC,bm3d,bm4d
10240.0,0.44745637492467744,0.00797245786786873,0.006173550902413602
20480.0,0.29269498663280646,0.002850874040796486,0.0021847074471434357
40960.0,0.16936263946141386,0.0011803308226714935,0.0007882724777266594
81920.0,0.09013380303781922,0.0005255058303669378,0.0002858023804235029
163840.0,0.04466968491421164,0.0002763844334829665,0.00012841620487193678
327680.0,0.02115961140292501,0.0001513100053190702,6.754814103464269e-05
430080.0,0.015750387283524455,0.0001195579876771227,5.079119091902186e-05
655360.0,0.009959496050937081,8.536764763343832e-05,3.79733670149396e-05
860160.0,0.007446885661322536,6.838314484991299e-05,3.080507012125407e-05
1310720.0,0.004831701566194899,5.049549777518428e-05,2.3911106839606632e-05
1720320.0,0.0036240334451517267,4.100238306765988e-05,1.8737393312565842e-05
2621440.0,0.002380629148521695,3.145606605928082e-05,1.5137182877624305e-05
3440640.0,0.0017968437996569524,2.5803252427065372e-05,1.2554301301913226e-05
5160960.0,0.0012031512516477447,1.9583906034085867e-05,9.89142198643448e-06
5242880.0,0.001183841181523899,1.9617372771545482e-05,9.551665979042662e-06
6881280.0,0.0009014069997064039,1.7082823540080887e-05,8.379118678476396e-06
10321920.0,0.0006003742126535325,1.2869695705998475e-05,6.816266495329503e-06
10485760.0,0.000592330261262824,1.2936223604535307e-05,6.59975952081327e-06
13762560.0,0.0004499116031007865,1.0756271867973672e-05,5.54971494653046e-06
20643840.0,0.0003004075777354996,8.473716711337743e-06,4.524267064120301e-06
27525120.0,0.00022620631409267863,7.031313284420812e-06,3.931049471395169e-06
41287680.0,0.00015111078724441162,5.602518197867319e-06,3.3138836295575314e-06
55050240.0,0.00011370475563809673,4.739946660771171e-06,2.9290028423728387e-06
82575360.0,7.588581507054743e-05,3.823578613370735e-06,2.5074118295909172e-06
110100480.0,5.729863754617356e-05,3.3230644416618445e-06,2.2153851115625466e-06
165150720.0,3.8579585110830525e-05,2.780587873855471e-06,1.84489984112531e-06
220200960.0,2.912190695782786e-05,2.4706271840151382e-06,1.6491611407618823e-06
330301440.0,1.9833093160108176e-05,2.150552662990217e-06,1.5001002416507305e-06
440401920.0,1.5140672330083419e-05,1.9584052931643665e-06,1.41535798208424e-06
660602880.0,1.0492098606635673e-05,1.7614833113813835e-06,1.3415454377918553e-06
1321205760.0,5.843563503941783e-06,1.524345891281844e-06,1.2710801206368757e-06
2642411520.0,3.5139848858176357e-06,1.3797583992228777e-06,1.2335139357967422e-06
5284823040.0,2.337849154452176e-06,1.2952129868994452e-06,1.2135424698549308e-06
