Samples,Noisy_VMC,FFT,2336000000CAE_3D,2385000CAE_3D,238800000000CAE_3D,23930000CAE_3D,240700000CAE_3D,24080000000CAE_3D
10240.0,0.44745637492467755,0.0007716768226325421,0.0001750544470269233,0.0011722850613296032,0.0001682667643763125,0.0002464153803884983,0.0001815086288843304,0.00016649908502586186
20480.0,0.29269498663280646,0.00037949244095305054,0.00017112240311689675,0.0011515403166413307,0.00016355482512153685,0.0002411433233646676,0.0001747004280332476,0.0001637197710806504
40960.0,0.16936263946141383,0.000376594842200277,0.00017027344438247383,0.0011367801344022155,0.0001606589648872614,0.00023816549219191074,0.0001714800309855491,0.00016162765678018332
81920.0,0.0901338030378192,0.00018202493991624903,0.0001683228911133483,0.0011281789047643542,0.00015938296564854681,0.00023625481117051095,0.00016862747725099325,0.0001605451398063451
163840.0,0.04466968491421163,0.00017021310794393946,0.00016718526603654027,0.001121075008995831,0.00015909186913631856,0.00023621515720151365,0.0001677774707786739,0.0001593960914760828
327680.0,0.02115961140292501,0.00012433696291303786,0.00016724404122214764,0.0011163780000060797,0.0001586614380357787,0.00023499224334955215,0.00016681477427482605,0.00015973694098647684
430080.0,0.015750387283524455,6.943723931875953e-05,0.00016645799041725695,0.0011152628576382995,0.00015806304872967303,0.00023479477385990322,0.00016690637858118862,0.00015924175386317074
655360.0,0.009959496050937077,5.799084731261237e-05,0.0001660698908381164,0.0011151768267154694,0.00015855934179853648,0.00023472914472222328,0.00016586037236265838,0.00015948349027894437
860160.0,0.0074468856613225335,5.456354656463819e-05,0.00016652187332510948,0.0011142493458464742,0.0001586180442245677,0.00023492792388424277,0.0001662673894315958,0.00015960767632350326
1310720.0,0.004831701566194899,3.727165366458061e-05,0.00016590941231697798,0.0011131815845146775,0.00015820821863599122,0.0002341568615520373,0.00016533341840840876,0.00015834349323995411
1720320.0,0.0036240334451517267,3.258676221468244e-05,0.0001665707677602768,0.001113016391173005,0.00015845164307393134,0.00023484823759645224,0.0001654843654250726,0.00015868322225287557
2621440.0,0.0023806291485216945,2.3595214312532686e-05,0.00016604148549959064,0.001112080761231482,0.0001576614595251158,0.00023428007261827588,0.0001661706919549033,0.00015896465629339218
3440640.0,0.0017968437996569524,1.8696064697238217e-05,0.0001660251582507044,0.001112252357415855,0.00015745285782031715,0.00023398415942210704,0.000165545308846049,0.0001593904453329742
5160960.0,0.0012031512516477445,9.42484232231972e-06,0.00016586021229159087,0.0011117331450805068,0.0001579434028826654,0.00023358291946351528,0.00016569363651797175,0.00015816786617506295
5242880.0,0.001183841181523899,1.039294366000203e-05,0.00016573221364524215,0.0011119013652205467,0.00015734077896922827,0.0002338942576898262,0.00016517116455361247,0.00015833147335797548
6881280.0,0.0009014069997064035,1.0892102634738487e-05,0.00016573467291891575,0.0011116458335891366,0.00015765101124998182,0.0002330438292119652,0.00016573569155298173,0.00015792594058439136
10321920.0,0.0006003742126535325,6.023249811596284e-06,0.00016568398859817535,0.0011112226638942957,0.0001572637411300093,0.00023373003932647407,0.0001652128848945722,0.0001579008821863681
10485760.0,0.0005923302612628243,5.93666518081904e-06,0.0001657465472817421,0.001111307181417942,0.00015781601541675627,0.00023389142006635666,0.00016527101979590952,0.00015841875574551523
13762560.0,0.00044991160310078654,6.466678428983334e-06,0.00016582343960180879,0.001111348858103156,0.00015736364002805203,0.0002334902819711715,0.0001654697844060138,0.00015863253793213516
20643840.0,0.0003004075777354995,4.444567479979796e-06,0.00016527928528375924,0.001111256773583591,0.00015751476166769862,0.00023390295973513275,0.00016534002497792244,0.00015812029596418142
27525120.0,0.0002262063140926788,4.5848401418028495e-06,0.00016571673040743917,0.0011104093864560127,0.00015758803056087345,0.00023457634961232543,0.00016575948393438011,0.0001587322331033647
41287680.0,0.00015111078724441116,2.938963545350284e-06,0.00016573906759731472,0.0011104994919151068,0.00015748635632917285,0.00023406074615195394,0.00016522544319741428,0.00015872056246735156
55050240.0,0.00011370475563809664,3.0003557683588876e-06,0.00016574011533521116,0.0011112014763057232,0.00015760588576085865,0.00023445847909897566,0.00016524147940799594,0.00015864190936554223
82575360.0,7.588581507054732e-05,2.289212764781313e-06,0.0001659487752476707,0.0011104617733508348,0.00015710500883869827,0.00023412631708197296,0.00016506537212990224,0.0001587456208653748
110100480.0,5.7298637546173616e-05,2.043070098871475e-06,0.0001655221713008359,0.0011108010075986385,0.00015755386266391724,0.00023424100072588772,0.00016487325774505734,0.0001591910986462608
165150720.0,3.857958511083e-05,1.8767553019590811e-06,0.0001658998808125034,0.001111585064791143,0.0001578533701831475,0.00023428235726896673,0.0001643535797484219,0.00015852032811380923
220200960.0,2.91219069578282e-05,1.7753787310937153e-06,0.00016509919078089297,0.001110839657485485,0.0001579031377332285,0.000234450853895396,0.00016447241068817675,0.000158890790771693
330301440.0,1.983309316010802e-05,1.7179152363859411e-06,0.00016580394003540277,0.0011106214951723814,0.000157975620822981,0.00023411113943438977,0.00016468524700030684,0.00015859826817177236
440401920.0,1.5140672330083404e-05,1.6462083035540177e-06,0.0001654012594372034,0.0011102149728685617,0.00015783667913638055,0.00023449103173334152,0.00016436995065305382,0.00015857578546274453
660602880.0,1.049209860663569e-05,1.6373476252710184e-06,0.0001654109510127455,0.0011113954242318869,0.0001581372634973377,0.00023423958919011056,0.0001649620389798656,0.00015854497905820608
1321205760.0,5.843563503941603e-06,1.5979897320204605e-06,0.0001657108514336869,0.0011099458206444979,0.00015831254131626338,0.00023485501878894866,0.00016475054144393653,0.00015871998039074242
2642411520.0,3.5139848858172935e-06,1.5723591041653866e-06,0.00016545123071409762,0.0011108918115496635,0.00015790766337886453,0.0002339845523238182,0.0001648028555791825,0.00015866378089413047
5284823040.0,2.337849154451863e-06,1.5623352837162784e-06,0.00016536546172574162,0.001110497978515923,0.00015777666703797877,0.00023405694810207933,0.00016495338059030473,0.00015869848721195012
