Samples,Noisy_VMC,FFT,scunet_trained,scunet_pre,scunet_ft,CAE,bm3d
10240.0,0.44745637492467755,0.0007716768226325421,0.005857386623088759,0.12312900595949405,0.010071829360482653,0.022760284264682556,0.04604094731320563
20480.0,0.29269498663280646,0.00037949244095305054,0.0021020991080942567,0.07733200484209808,0.003116529672776005,0.008786091381469522,0.0338072206624249
40960.0,0.16936263946141383,0.000376594842200277,0.0009444639596860139,0.04373080135190993,0.0010885409012773145,0.003069292708103366,0.021310107729642973
81920.0,0.0901338030378192,0.00018202493991624903,0.0006476092349527851,0.02592117534511905,0.0006117670164942373,0.0013551285202845138,0.01435876764162351
163840.0,0.04466968491421163,0.00017021310794393946,0.0005699674951550652,0.01499570379769127,0.0004893829832035906,0.0009756132141062111,0.009840167394287473
327680.0,0.02115961140292501,0.00012433696291303786,0.0005815531304713234,0.009159455514063884,0.0004733034063727615,0.0007750981627761092,0.007378614651277712
430080.0,0.015750387283524455,6.943723931875953e-05,0.0005783160646327287,0.007591534233690341,0.00047769217390674284,0.0007712335789807678,0.006561528622673364
655360.0,0.009959496050937077,5.799084731261237e-05,0.0006170183274223032,0.0063311854309613435,0.0004997535340068126,0.0007744708637643443,0.005990618389985222
860160.0,0.0074468856613225335,5.456354656463819e-05,0.0006337478364401323,0.005332989276208749,0.00051191578300936,0.0007667204561503858,0.0052199586487934055
1310720.0,0.004831701566194899,3.727165366458061e-05,0.0006269554951003833,0.004471212360223071,0.0004979834661123052,0.0007525778773912637,0.0045845620129173125
1720320.0,0.0036240334451517267,3.258676221468244e-05,0.0005701565275652226,0.0036122436092035537,0.00044464707086719747,0.0006964668027665891,0.003753906602432997
2621440.0,0.0023806291485216945,2.3595214312532686e-05,0.0004582964729043294,0.0025015029712073546,0.0003515295844117516,0.0006168781437382715,0.002612820160338243
3440640.0,0.0017968437996569524,1.8696064697238217e-05,0.00041594273231829757,0.0020174018697180856,0.00031268994841095866,0.0006093507531915205,0.00211905331334781
5160960.0,0.0012031512516477445,9.42484232231972e-06,0.0003770899930072356,0.0013909850130530209,0.00028456894986594227,0.0006109242613044629,0.0014681270970816048
5242880.0,0.001183841181523899,1.039294366000203e-05,0.00038391712049186275,0.0013941083875196095,0.00028486148557543795,0.0006102898781930455,0.001471597946614784
6881280.0,0.0009014069997064035,1.0892102634738487e-05,0.00037148598041077325,0.0011387935609176764,0.0002762222695966394,0.0006331771446271403,0.0012129924827707858
10321920.0,0.0006003742126535325,6.023249811596284e-06,0.0003591266164545093,0.0008077609226396636,0.0002709628714157055,0.0006683723531348385,0.0008691234588128478
10485760.0,0.0005923302612628243,5.93666518081904e-06,0.0003582741245989699,0.0007750764282328835,0.00026752151792858126,0.0006668040503295921,0.0008384269589065017
13762560.0,0.00044991160310078654,6.466678428983334e-06,0.00038042177653652766,0.0006286786824603514,0.00029156924632546386,0.000712710919441448,0.00068787116765527
20643840.0,0.0003004075777354995,4.444567479979796e-06,0.00036628258271054827,0.00042300588162568647,0.00028668633451173203,0.0007571458665798279,0.0004768537429713503
27525120.0,0.0002262063140926788,4.5848401418028495e-06,0.0003783841020609145,0.00032084296977984665,0.00030119328578227735,0.0008022592253067764,0.0003750768311944529
41287680.0,0.00015111078724441116,2.938963545350284e-06,0.0003863113940118032,0.0002068426117269927,0.0003160441013205567,0.0008531206855745112,0.00025962010009344087
55050240.0,0.00011370475563809664,3.0003557683588876e-06,0.00039394773050673357,0.00017599885033113796,0.0003231414689399713,0.0008753934748388507,0.00022956984891400425
82575360.0,7.588581507054732e-05,2.289212764781313e-06,0.00039961639187609206,0.00011455248147383762,0.0003333013223404912,0.0009180565655165963,0.00016858230852805938
110100480.0,5.7298637546173616e-05,2.043070098871475e-06,0.0004091098926982465,0.00010009850765174248,0.0003434848417900357,0.0009368028309946533,0.0001551593335440201
165150720.0,3.857958511083e-05,1.8767553019590811e-06,0.00041800105283407743,7.21606891142914e-05,0.00035421731934380947,0.0009692143023163117,0.00012818311649044243
220200960.0,2.91219069578282e-05,1.7753787310937153e-06,0.00042411998289278494,6.132302322357264e-05,0.00036216324468688293,0.0009911183347163603,0.00011833339311647372
330301440.0,1.983309316010802e-05,1.7179152363859411e-06,0.00043052149769735317,5.0078998953308756e-05,0.00036963060496405717,0.001013606240542918,0.00010837089954874771
440401920.0,1.5140672330083404e-05,1.6462083035540177e-06,0.0004328950116853704,4.564813488112803e-05,0.00037356881722655684,0.0010288437441413336,0.00010506289561030115
660602880.0,1.049209860663569e-05,1.6373476252710184e-06,0.0004362577009292805,4.256227260502815e-05,0.00037640730044424494,0.0010360345578270445,0.00010248566472069975
1321205760.0,5.843563503941603e-06,1.5979897320204605e-06,0.0004416936006132764,3.8353435586114646e-05,0.00038350613061219503,0.0010547797790405717,9.966132467065544e-05
2642411520.0,3.5139848858172935e-06,1.5723591041653866e-06,0.0004465138170117075,3.602749963796015e-05,0.00039007044428690654,0.0010698294745059536,9.829810223691865e-05
5284823040.0,2.337849154451863e-06,1.5623352837162784e-06,0.00044900276640968674,3.5280687983400936e-05,0.00039257076306730814,0.0010781932736472094,9.824213961204649e-05
