Samples,Noisy_JSD,Denoised_JSD
10240,0.44745637492467755,0.010112257045391763
20480,0.29269498663280646,0.003762960187018572
40960,0.16936263946141383,0.0015642096386912303
81920,0.0901338030378192,0.0006831024905858718
163840,0.04466968491421163,0.00032194770389568414
327680,0.02115961140292501,0.00015560870039618908
430080,0.015750387283524455,0.0001182117261412794
655360,0.009959496050937077,8.088486871194908e-05
860160,0.0074468856613225335,6.434345523782544e-05
1310720,0.004831701566194899,4.5860360972133496e-05
1720320,0.0036240334451517267,3.716198755430454e-05
2621440,0.0023806291485216945,2.7367610851984867e-05
3440640,0.0017968437996569524,2.3368324653217342e-05
5160960,0.0012031512516477445,1.7961534267520696e-05
5242880,0.001183841181523899,1.758736626533086e-05
6881280,0.0009014069997064035,1.545499269044795e-05
10321920,0.0006003742126535325,1.2876904026319992e-05
10485760,0.0005923302612628243,1.2472515328352318e-05
13762560,0.00044991160310078654,1.1438685009370189e-05
20643840,0.0003004075777354995,9.97583489065823e-06
27525120,0.0002262063140926788,9.358609645009579e-06
41287680,0.00015111078724441116,8.72775668720741e-06
55050240,0.00011370475563809664,8.316389592893946e-06
82575360,7.588581507054732e-05,8.047607987232834e-06
110100480,5.7298637546173616e-05,7.852436365543587e-06
165150720,3.857958511083e-05,7.711772504879231e-06
220200960,2.91219069578282e-05,7.624621144657791e-06
330301440,1.983309316010802e-05,7.50912612963447e-06
440401920,1.5140672330083404e-05,7.48507281837463e-06
660602880,1.049209860663569e-05,7.4279756491996126e-06
1321205760,5.843563503941603e-06,7.3806363637529504e-06
2642411520,3.5139848858172935e-06,7.364196438989457e-06
5284823040,2.337849154451863e-06,7.357958777280091e-06
