Samples,Noisy_dmc,UNET,BM4D,FFT,Local_Reg
20488,0.28673665912113205,0.005799320082286943,0.03143617764101492,0.006953821724768818,0.14601397995307658
40963,0.1686989400493444,0.004356636793502871,0.01139969418358865,0.0038959552275584057,0.08237033709584207
81895,0.09129426343047962,0.0028919500283623935,0.004422244887299419,0.001858427216930839,0.04328157295750543
163804,0.046242574720504644,0.0017752668615548936,0.002001328185154872,0.0019085354847745966,0.02212377523703881
327565,0.02226630353716976,0.0008987797031870781,0.0009412971825124124,0.001009498254475325,0.010937354256176613
427938,0.016399704526885696,0.0006428479820287762,0.0007140126166976062,0.0005418261389285614,0.00816947942696068
652279,0.01052935819815432,0.0004780402407996679,0.0005313154899185158,0.0004920695696081415,0.005349816802458245
856341,0.007860086677200725,0.0003685728758470395,0.00041798398452618467,0.0003063891431852876,0.004040328698956092
1305628,0.0050888442550887985,0.00025357939145607153,0.0003144620875577911,0.0002690236578657221,0.0026383688539596247
1718334,0.0038439322003804583,0.00020530794759795025,0.0002500595094930475,0.00019602132515872826,0.0020053010504905476
2600974,0.0025189933239266413,0.00014332578909112946,0.00019812673360600311,0.0001369690721162883,0.001313970087975502
3430082,0.0018910535499186102,0.00010814716725391031,0.00015882202693291294,9.181469265332228e-05,0.0009868119256838121
5156914,0.0012536404140269517,8.612874256297609e-05,0.00013694288767862706,7.110105757031185e-05,0.0006558363108113199
5221839,0.0012511912931231388,9.328162626581036e-05,0.00014863519951878514,7.418354766595316e-05,0.0006596383625419489
6859080,0.0009447911464439906,7.732284962459926e-05,0.00012053153070915951,4.2575118390108004e-05,0.0004961487606785219
10306478,0.0006281563798819576,6.287348978038e-05,0.00011126881919498169,3.636175678321775e-05,0.00033157896393186696
10460209,0.0006217853341899794,6.267812346208102e-05,0.00011554068966133071,3.428569405078004e-05,0.00033061527888078525
13716305,0.00047128408145640454,5.811697096540772e-05,0.00010251201237137752,2.7782589165820164e-05,0.00025035613664859443
20619634,0.0003132677411485037,5.2827030813838285e-05,9.792859317024953e-05,1.8876702016349827e-05,0.00016779713231222432
20928124,0.00031196260022637,4.91359196063738e-05,0.00010084028460010389,2.1440155410986507e-05,0.00016861906977665207
27440029,0.0002351950114015761,4.721962497918309e-05,9.259621615226641e-05,1.4593444773292156e-05,0.00012735359602062155
41261398,0.0001577399741357315,4.5861196817022634e-05,9.02204128270519e-05,1.0553614998551807e-05,8.664335428188202e-05
54957135,0.00011811357880180755,4.2536247746150296e-05,8.883039232246273e-05,8.367222375762522e-06,6.604795818572414e-05
82548320,7.910906952571257e-05,4.079085618362852e-05,8.514139514672948e-05,6.284535779139343e-06,4.5577168681183524e-05
109925408,5.973007210048153e-05,3.963042096838455e-05,8.434250973947287e-05,4.704626978738851e-06,3.562260980473773e-05
165018425,4.032559171655115e-05,3.973230738197303e-05,8.277585009704584e-05,4.218650164651083e-06,2.5542561999116373e-05
220027529,3.039345973954946e-05,3.82215599357564e-05,8.273506968759284e-05,3.071511547655594e-06,2.0295550649428698e-05
330061239,2.0672403391615028e-05,3.819644315669237e-05,8.157888085530329e-05,2.7496587468644147e-06,1.5224690846266167e-05
439937606,1.5860484080667377e-05,3.759988111201853e-05,8.205229379820865e-05,2.3687481494607884e-06,1.2681641594841165e-05
660235265,1.1003026444145814e-05,3.776985482062937e-05,8.118639475829407e-05,2.059056798348166e-06,1.0212087786002719e-05
1320533024,6.104845787152444e-06,3.754199548275662e-05,8.11657491925393e-05,1.6368450637775746e-06,7.639092515793999e-06
2641506675,3.641849115635836e-06,3.735305888865349e-05,8.094759500364086e-05,1.4468183621495076e-06,6.34646913874414e-06
5283219951,2.434704386612307e-06,3.7167261691469586e-05,8.08377103654211e-05,1.3438131218180657e-06,5.710540066932104e-06
